"Hot Spot","Self Time Difference (microseconds)","Self Time Base (microseconds)","Invocations Difference","Invocations Base"
"kanzi.entropy.TPAQPredictor.update(int)",402773287,0,514981896,0
"kanzi.entropy.BinaryEntropyEncoder.encodeByte(byte)",172464025,0,64372737,0
"kanzi.entropy.TPAQPredictor$Mixer.get(int, int, int, int, int, int, int, int)",156260652,0,514981896,0
"kanzi.entropy.BinaryEntropyEncoder.encodeBit(int, int)",148405777,0,514981896,0
"kanzi.Global.squash(int)",145992281,3011,514983480,3895
"kanzi.entropy.TPAQPredictor$Mixer.update(int)",74851657,0,514981896,0
"kanzi.Global.positiveOrNull(int)",65236502,0,501749924,0
"kanzi.entropy.TPAQPredictor.get()",63429792,0,514981896,0
"kanzi.entropy.LogisticAdaptiveProbMap.get(int, int, int)",55699811,0,412851958,0
"java.lang.Thread.yield()",45726072,0,71572888,0
"kanzi.entropy.TPAQPredictor.getMatchContextPred()",27200134,0,195073100,0
"kanzi.entropy.TPAQPredictor.createContext(int, int)",26559639,0,193118211,0
"kanzi.transform.TextCodec$TextCodec1.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",25347060,0,48,0
"kanzi.io.CompressedOutputStream$EncodingTask.encodeBlock(kanzi.SliceByteArray, kanzi.SliceByteArray, int, long, int, int)",16921481,32867,47,1
"kanzi.entropy.TPAQPredictor.findMatch()",16362989,0,64372737,0
"kanzi.transform.TextCodec.isText(byte)",14513858,15240674,-474583,100005616
"kanzi.entropy.BinaryEntropyEncoder.encode(byte[ ], int, int)",9972195,0,48,0
"kanzi.util.hash.XXHash32.hash(byte[ ], int, int)",8159608,0,48,0
"java.util.concurrent.atomic.AtomicInteger.get()",7053983,0,71572991,0
"kanzi.transform.TextCodec.isLowerCase(byte)",6948829,7055582,-474583,100005616
"kanzi.Memory$LittleEndian.readInt32(byte[ ], int)",3186619,0,25000000,0
"kanzi.util.hash.XXHash32.round(int, int)",3109210,0,25000000,0
"kanzi.entropy.BinaryEntropyEncoder.flush()",1749819,0,5916626,0
"kanzi.transform.TextCodec$TextCodec1.emitWordIndex(byte[ ], int, int)",1624263,0,11768906,0
"kanzi.entropy.TPAQPredictor.<init>(java.util.Map)",1302345,0,48,0
"kanzi.transform.RLT.forward(kanzi.SliceByteArray, kanzi.SliceByteArray)",1210186,0,48,0
"kanzi.transform.TextCodec.isDelimiter(byte)",1123582,1082185,-2027,13861126
"kanzi.transform.TextCodec$TextCodec1.emitSymbols(byte[ ], int, byte[ ], int, int, int)",809511,0,4651020,0
"kanzi.Memory$BigEndian.writeInt32(byte[ ], int, int)",793390,0,5916626,0
"kanzi.transform.TextCodec.sameWords(byte[ ], int, byte[ ], int, int)",560583,1350314,-929294,12697965
